
Hyperopt trials
tid,loss,learning_rate,batch_size,time
0,0.691370,0.000032,0,944.037380
1,1.091918,0.000055,2,695.833861
2,1.499898,0.000011,2,3431.278069
3,1.034231,0.000062,2,719.651695
4,1.098652,0.000014,0,772.185791
5,0.819374,0.000098,2,3986.060904
6,1.281284,0.000017,1,616.843246
7,0.423803,0.000069,0,1200.271839
8,1.157942,0.000089,3,675.751814
9,0.413202,0.000073,0,941.790778
10,1.282331,0.000061,3,600.991224
11,0.399423,0.000079,0,941.851716
12,0.955988,0.000074,2,724.810831
13,1.377946,0.000042,3,597.543230
14,1.323312,0.000053,3,598.084149
15,0.636823,0.000036,0,946.926726
16,0.615528,0.000075,1,779.952614
17,0.598766,0.000078,1,779.928795
18,0.421533,0.000069,0,938.743413
19,1.261149,0.000018,1,612.717975

Best parameters:{'batch_size': 64, 'learning_rate': 7.910347304293808e-05, 'n_classes': 5}

Best Time taken: 941.851716
